state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Johor,2017-01-01,cash_crops,3780.3,42424.1,2017,27.2,11.222416210353675
Johor,2018-01-01,cash_crops,3483.7,43420.4,2018,27.35,12.463874616069123
Johor,2019-01-01,cash_crops,3007.5,38566.7,2019,27.6,12.823507896924355
Johor,2020-01-01,cash_crops,3056.2,42963.0,2020,27.45,14.057653294941431
Johor,2021-01-01,cash_crops,3522.4,47538.7,2021,27.1,13.496110606404724
Johor,2022-01-01,cash_crops,3397.3,46960.0,2022,27.15,13.822741588908839
Johor,2017-01-01,coconut,14931.6,107731.0,2017,27.2,7.2149669158027265
Johor,2018-01-01,coconut,12949.7,95495.7,2018,27.35,7.374356162691027
Johor,2019-01-01,coconut,10762.9,99375.1,2019,27.6,9.233115610105084
Johor,2020-01-01,coconut,11887.0,106723.2,2020,27.45,8.97814419113317
Johor,2021-01-01,coconut,12380.5,118278.2,2021,27.1,9.553588304188038
Johor,2022-01-01,coconut,13269.8,124062.2,2022,27.15,9.34921400473255
Johor,2017-01-01,flower,1455.2,245074825.0,2017,27.2,168413.15626717976
Johor,2018-01-01,flower,1481.4,249486172.0,2018,27.35,168412.42878358308
Johor,2019-01-01,flower,1509.6,254226409.0,2019,27.6,168406.47125066243
Johor,2020-01-01,flower,1467.3,193720524.0,2020,27.45,132025.16458801882
Johor,2021-01-01,flower,1442.4,164836794.0,2021,27.1,114279.52995008319
Johor,2022-01-01,flower,1461.1,168133530.0,2022,27.15,115073.25302854014
Johor,2017-01-01,fruits,59264.8,603693.0,2017,27.2,10.186366949690203
Johor,2018-01-01,fruits,46698.3,567300.8,2018,27.35,12.148210962711705
Johor,2019-01-01,fruits,41504.2,543387.3,2019,27.6,13.09234487112148
Johor,2020-01-01,fruits,44779.0,557842.7,2020,27.45,12.457685522231403
Johor,2021-01-01,fruits,50231.6,631711.1,2021,27.1,12.575970106466846
Johor,2022-01-01,fruits,50217.0,772317.4,2022,27.15,15.379600533683814
Johor,2017-01-01,herbs,394.8,2316.5,2017,27.2,5.867527862208713
Johor,2018-01-01,herbs,453.4,3060.2,2018,27.35,6.749448610498456
Johor,2019-01-01,herbs,189.7,1936.3,2019,27.6,10.207169214549289
Johor,2020-01-01,herbs,179.0,2586.1,2020,27.45,14.447486033519553
Johor,2021-01-01,herbs,266.8,2642.8,2021,27.1,9.905547226386807
Johor,2022-01-01,herbs,256.2,2722.4,2022,27.15,10.626073380171741
Johor,2017-01-01,industrial_crops,16161.0,117769.7,2017,27.2,7.287278014974321
Johor,2018-01-01,industrial_crops,13625.3,98700.0,2018,27.35,7.24387719903415
Johor,2019-01-01,industrial_crops,11369.7,102455.0,2019,27.6,9.011231606814603
Johor,2020-01-01,industrial_crops,12463.1,110575.5,2020,27.45,8.87223082539657
Johor,2021-01-01,industrial_crops,12975.7,123560.5,2021,27.1,9.522453509251909
Johor,2022-01-01,industrial_crops,13820.5,128173.1,2022,27.15,9.274129011251402
Johor,2017-01-01,paddy,3000.0,8563.0,2017,27.2,2.8543333333333334
Johor,2018-01-01,paddy,2866.0,9424.0,2018,27.35,3.2882065596650385
Johor,2019-01-01,paddy,2555.0,7704.0,2019,27.6,3.0152641878669275
Johor,2020-01-01,paddy,2547.0,7502.0,2020,27.45,2.945425991362387
Johor,2021-01-01,paddy,2505.0,9031.0,2021,27.1,3.605189620758483
Johor,2022-01-01,paddy,2776.0,10832.0,2022,27.15,3.9020172910662825
Johor,2017-01-01,spices,1507.6,14532.3,2017,27.2,9.639360573096312
Johor,2018-01-01,spices,999.0,11548.8,2018,27.35,11.56036036036036
Johor,2019-01-01,spices,962.0,13679.7,2019,27.6,14.22006237006237
Johor,2020-01-01,spices,1211.6,15368.5,2020,27.45,12.684466820732917
Johor,2021-01-01,spices,1645.5,18401.5,2021,27.1,11.182923123670617
